iter	Passed	Remaining
223	2666	9237
224	2686	9252
225	2699	9245
226	2707	9221
227	2717	9199
228	2727	9182
229	2737	9165
230	2748	9149
231	2759	9135
232	2769	9115
233	2779	9098
234	2787	9075
235	2799	9061
236	2809	9044
237	2814	9012
238	2823	8988
239	2833	8971
240	2841	8949
241	2851	8931
242	2861	8913
243	2871	8897
244	2881	8880
245	2892	8866
246	2903	8851
247	2914	8837
248	2932	8843
249	2945	8837
250	2954	8817
251	2964	8797
252	2975	8785
253	2987	8773
254	2998	8760
255	3009	8744
256	3019	8728
257	3027	8707
258	3036	8686
259	3048	8677
260	3057	8658
261	3069	8646
262	3080	8633
263	3091	8618
264	3100	8600
265	3109	8579
266	3120	8565
267	3128	8545
268	3142	8540
269	3154	8529
270	3168	8523
271	3186	8527
272	3200	8523
273	3209	8504
274	3221	8493
275	3231	8475
276	3244	8467
277	3254	8452
278	3262	8431
279	3275	8423
280	3288	8413
281	3303	8411
282	3316	8401
283	3327	8390
284	3343	8389
285	3362	8394
286	3375	8386
287	3388	8375
288	3398	8362
289	3411	8352
290	3434	8368
291	3445	8353
292	3456	8341
293	3466	8323
294	3478	8312
295	3490	8300
296	3502	8289
297	3511	8271
298	3519	8252
299	3531	8240
300	3542	8227
301	3554	8215
302	3566	8204
303	3576	8187
304	3587	8175
305	3599	8164
306	3609	8147
307	3618	8129
308	3627	8112
309	3638	8099
310	3649	8084
311	3670	8094
312	3690	8099
313	3699	8083
314	3713	8075
315	3729	8073
316	3744	8067
317	3756	8055
318	3765	8039
319	3775	8022
320	3786	8009
321	3796	7992
322	3809	7984
323	3821	7973
324	3833	7961
325	3842	7943
326	3854	7932
327	3863	7915
328	3875	7903
329	3886	7891
330	3895	7874
331	3910	7867
332	3926	7865
333	3938	7853
334	3948	7837
335	3960	7825
336	3972	7815
337	3982	7799
338	3993	7787
339	4004	7773
340	4013	7756
341	4024	7743
342	4035	7729
343	4047	7718
344	4059	7707
345	4070	7694
346	4082	7682
347	4092	7666
348	4102	7651
349	4112	7638
350	4123	7625
351	4135	7612
352	4145	7598
353	4167	7605
354	4178	7591
355	4187	7574
356	4194	7555
357	4206	7542
358	4220	7535
359	4232	7523
360	4243	7511
361	4255	7499
362	4264	7482
363	4275	7469
364	4283	7452
365	4297	7443
366	4308	7431
367	4320	7419
368	4331	7406
369	4340	7389
370	4349	7374
371	4358	7358
372	4367	7341
373	4376	7324
374	4387	7312
375	4401	7304
376	4420	7305
377	4431	7292
378	4445	7283
379	4457	7272
380	4466	7255
381	4477	7243
382	4488	7230
383	4499	7218
384	4512	7208
385	4526	7199
386	4535	7183
387	4543	7167
388	4555	7154
389	4565	7141
390	4576	7128
391	4585	7112
392	4600	7104
393	4609	7089
394	4617	7072
395	4626	7056
396	4633	7038
397	4653	7039
398	4670	7034
399	4681	7022
400	4697	7016
401	4711	7008
402	4722	6996
403	4731	6979
404	4739	6963
405	4751	6951
406	4762	6939
407	4775	6929
408	4787	6918
409	4799	6906
410	4810	6893
411	4818	6877
412	4829	6864
413	4838	6848
414	4847	6833
415	4857	6819
416	4869	6808
417	4881	6796
418	4903	6799
419	4915	6788
420	4927	6776
421	4938	6763
422	4950	6752
423	4961	6739
424	4972	6727
425	4983	6714
426	4994	6701
427	5004	6687
428	5016	6676
429	5025	6662
430	5035	6647
431	5044	6632
432	5052	6616
433	5063	6604
434	5074	6590
435	5084	6577
436	5097	6567
437	5108	6554
438	5119	6542
439	5131	6531
440	5154	6534
441	5166	6522
442	5177	6509
443	5191	6500
444	5203	6489
445	5215	6477
446	5223	6462
447	5235	6450
448	5244	6435
449	5253	6421
450	5262	6405
451	5273	6393
452	5285	6382
453	5297	6371
454	5309	6359
455	5319	6346
456	5330	6334
457	5339	6319
458	5351	6308
459	5365	6298
460	5375	6285
461	5394	6282
462	5408	6273
463	5419	6260
464	5430	6247
465	5443	6238
466	5456	6227
467	5467	6215
468	5476	6200
469	5487	6188
470	5498	6176
471	5506	6159
472	5517	6147
473	5531	6138
474	5540	6123
475	5549	6108
476	5559	6095
477	5570	6082
478	5580	6070
479	5591	6057
480	5604	6047
481	5615	6034
482	5635	6031
483	5653	6026
484	5662	6012
485	5671	5997
486	5679	5983
487	5690	5970
488	5701	5957
489	5715	5949
490	5729	5939
491	5741	5928
492	5753	5916
493	5765	5905
494	5775	5892
495	5787	5880
496	5801	5871
497	5809	5856
498	5821	5844
499	5832	5832
500	5842	5819
501	5853	5806
502	5862	5792
503	5885	5792
504	5899	5782
505	5910	5770
506	5922	5758
507	5932	5745
508	5944	5734
509	5955	5721
510	5966	5710
511	5973	5693
512	5982	5679
513	5993	5667
514	6001	5651
515	6012	5639
516	6025	5629
517	6037	5617
518	6048	5605
519	6057	5591
520	6068	5578
521	6075	5563
522	6085	5550
523	6094	5536
524	6102	5521
525	6116	5511
526	6137	5508
527	6146	5494
528	6155	5480
529	6164	5466
530	6173	5452
531	6184	5440
532	6194	5427
533	6206	5415
534	6216	5403
535	6228	5391
536	6241	5381
537	6251	5367
538	6261	5355
539	6270	5341
540	6282	5329
541	6296	5320
542	6305	5307
543	6316	5294
544	6327	5282
545	6331	5264
546	6343	5253
547	6353	5240
548	6365	5228
549	6388	5227
550	6399	5214
551	6410	5202
552	6420	5189
553	6431	5177
554	6440	5163
555	6450	5151
556	6464	5141
557	6476	5130
558	6488	5118
559	6493	5102
560	6504	5089
561	6515	5077
562	6523	5063
563	6535	5052
564	6545	5039
565	6556	5027
566	6567	5015
567	6578	5003
568	6587	4989
569	6596	4976
570	6611	4967
571	6628	4959
572	6642	4950
573	6647	4933
574	6658	4921
575	6669	4909
576	6678	4895
577	6686	4881
578	6695	4868
579	6703	4854
580	6712	4841
581	6719	4826
582	6729	4813
583	6740	4801
584	6745	4785
585	6754	4772
586	6765	4760
587	6770	4743
588	6779	4730
589	6788	4717
590	6793	4701
591	6805	4690
592	6814	4676
593	6822	4663
594	6834	4652
595	6846	4641
596	6864	4633
597	6881	4626
598	6886	4610
599	6894	4596
600	6903	4583
601	6912	4570
602	6921	4556
603	6931	4544
604	6941	4532
605	6945	4516
606	6954	4502
607	6965	4491
608	6973	4477
609	6982	4464
610	6989	4450
611	6998	4436
612	7006	4423
613	7017	4411
614	7031	4401
615	7043	4390
616	7054	4379
617	7065	4367
618	7069	4351
619	7077	4337
620	7085	4324
621	7089	4308
622	7103	4298
623	7117	4288
624	7128	4276
625	7138	4265
626	7149	4253
627	7160	4241
628	7165	4226
629	7174	4213
630	7185	4201
631	7196	4190
632	7207	4178
633	7218	4166
634	7227	4154
635	7232	4139
636	7241	4126
637	7250	4114
638	7261	4102
639	7275	4092
640	7286	4081
641	7296	4068
642	7308	4057
643	7316	4044
644	7326	4032
645	7335	4020
646	7360	4015
647	7371	4004
648	7380	3991
649	7391	3979
650	7398	3966
651	7402	3951
652	7406	3935
653	7412	3921
654	7423	3910
655	7435	3899
656	7443	3885
657	7452	3873
658	7464	3862
659	7473	3849
660	7482	3837
661	7487	3822
662	7497	3811
663	7506	3798
664	7515	3786
665	7526	3774
666	7538	3763
667	7550	3752
668	7559	3740
669	7567	3727
670	7577	3715
671	7588	3703
672	7597	3691
673	7613	3682
674	7624	3670
675	7633	3658
676	7640	3645
677	7645	3631
678	7658	3620
679	7669	3609
680	7674	3594
681	7681	3581
682	7690	3569
683	7701	3557
684	7710	3545
685	7723	3535
686	7733	3523
687	7738	3509
688	7748	3497
689	7756	3484
690	7763	3471
691	7772	3459
692	7776	3445
693	7787	3433
694	7792	3419
695	7801	3407
696	7814	3396
697	7830	3388
698	7854	3382
699	7865	3371
700	7878	3360
701	7888	3348
702	7898	3336
703	7911	3326
704	7921	3314
705	7927	3301
706	7932	3287
707	7937	3273
708	7942	3259
709	7951	3247
710	7957	3234
711	7967	3222
712	7977	3211
713	7987	3199
714	8001	3189
715	8013	3178
716	8018	3165
717	8029	3153
718	8038	3141
719	8043	3127
720	8053	3116
721	8064	3104
722	8076	3094
723	8101	3088
724	8110	3076
725	8120	3064
726	8129	3052
727	8140	3041
728	8147	3028
729	8156	3016
730	8170	3006
731	8181	2995
732	8185	2981
733	8196	2970
734	8200	2956
735	8209	2944
736	8219	2933
737	8230	2921
738	8240	2910
739	8251	2899
740	8261	2887
741	8270	2875
742	8283	2865
743	8290	2852
744	8299	2840
745	8308	2828
746	8319	2817
747	8344	2811
748	8353	2799
749	8359	2786
750	8368	2774
751	8378	2762
752	8387	2751
753	8398	2740
754	8409	2728
755	8416	2716
756	8431	2706
757	8438	2694
758	8445	2681
759	8454	2669
760	8464	2658
761	8473	2646
762	8482	2634
763	8491	2622
764	8504	2612
765	8514	2601
766	8520	2588
767	8529	2576
768	8538	2564
769	8543	2551
770	8554	2540
771	8563	2529
772	8571	2517
773	8592	2508
774	8601	2497
775	8608	2485
776	8621	2474
777	8630	2462
778	8639	2450
779	8649	2439
780	8659	2428
781	8666	2415
782	8672	2403
783	8683	2392
784	8694	2381
785	8704	2369
786	8713	2358
787	8719	2345
788	8729	2334
789	8734	2321
790	8746	2310
791	8754	2299
792	8768	2288
793	8773	2276
794	8782	2264
795	8790	2252
796	8796	2240
797	8803	2228
798	8819	2218
799	8837	2209
800	8849	2198
801	8861	2187
802	8873	2176
803	8883	2165
804	8892	2154
805	8900	2142
806	8909	2130
807	8917	2119
808	8932	2108
809	8942	2097
810	8954	2086
811	8963	2075
812	8968	2062
813	8977	2051
814	8985	2039
815	8995	2028
816	9009	2018
817	9023	2007
818	9034	1996
819	9045	1985
820	9053	1973
821	9066	1963
822	9085	1953
823	9089	1941
824	9095	1929
825	9107	1918
826	9116	1907
827	9127	1896
828	9133	1883
829	9144	1873
830	9156	1862
831	9165	1850
832	9172	1838
833	9182	1827
834	9194	1816
835	9204	1805
836	9210	1793
837	9219	1782
838	9228	1770
839	9235	1759
840	9246	1748
841	9258	1737
842	9268	1726
843	9278	1715
844	9290	1704
845	9301	1693
846	9318	1683
847	9333	1672
848	9344	1661
849	9356	1651
850	9371	1640
851	9385	1630
852	9394	1618
853	9405	1607
854	9413	1596
855	9422	1585
856	9437	1574
857	9447	1563
858	9456	1552
859	9461	1540
860	9470	1528
861	9478	1517
862	9484	1505
863	9494	1494
864	9502	1483
865	9510	1471
866	9521	1460
867	9531	1449
868	9540	1438
869	9553	1427
870	9572	1417
871	9581	1406
872	9591	1395
873	9602	1384
874	9606	1372
875	9620	1361
876	9629	1350
877	9640	1339
878	9649	1328
879	9654	1316
880	9662	1305
881	9668	1293
882	9677	1282
883	9683	1270
884	9689	1259
885	9698	1247
886	9707	1236
887	9716	1225
888	9725	1214
889	9732	1202
890	9738	1191
891	9747	1180
892	9757	1169
893	9767	1158
894	9777	1147
895	9784	1135
896	9793	1124
897	9816	1115
898	9826	1103
899	9829	1092
900	9836	1080
901	9846	1069
902	9852	1058
903	9859	1047
904	9868	1035
905	9880	1025
906	9887	1013
907	9896	1002
908	9905	991
909	9917	980
910	9931	970
911	9941	959
912	9955	948
913	9963	937
914	9977	926
915	9985	915
916	9999	905
917	10013	894
918	10024	883
919	10037	872
920	10056	862
921	10068	851
922	10077	840
923	10086	829
924	10091	818
925	10096	806
926	10108	796
927	10118	785
928	10129	774
929	10141	763
930	10152	752
931	10163	741
932	10175	730
933	10183	719
934	10189	708
935	10198	697
936	10204	686
937	10210	674
938	10221	664
939	10226	652
940	10233	641
941	10241	630
942	10250	619
943	10259	608
944	10268	597
945	10278	586
946	10292	576
947	10314	565
948	10323	554
949	10333	543
950	10344	532
951	10354	522
952	10365	511
953	10375	500
954	10383	489
955	10395	478
956	10406	467
957	10415	456
958	10420	445
959	10429	434
960	10438	423
961	10446	412
962	10457	401
963	10467	390
964	10476	379
965	10483	368
966	10493	358
967	10505	347
968	10517	336
969	10529	325
970	10558	315
971	10566	304
972	10578	293
973	10593	282
974	10605	271
975	10619	261
976	10630	250
977	10641	239
978	10650	228
979	10661	217
980	10676	206
981	10687	195
982	10698	185
983	10706	174
984	10715	163
985	10721	152
986	10732	141
987	10741	130
988	10748	119
989	10759	108
990	10769	97
991	10793	87
992	10811	76
993	10818	65
994	10828	54
995	10837	43
996	10844	32
997	10853	21
998	10867	10
999	10876	0
