iter	RMSE
216	0.1917472256
217	0.1912464218
218	0.1908267461
219	0.1904966443
220	0.1901457711
221	0.1898028513
222	0.1895395486
223	0.189140156
224	0.1889253966
225	0.1884367805
226	0.1879002622
227	0.1874792866
228	0.1867902358
229	0.1863636474
230	0.1860932918
231	0.1857594467
232	0.1853660758
233	0.1847644989
234	0.1845055236
235	0.1842333705
236	0.1838476862
237	0.1836509713
238	0.1829757483
239	0.1826893214
240	0.1821152635
241	0.1818430318
242	0.1816324294
243	0.1814194288
244	0.1811259382
245	0.1807208205
246	0.180435604
247	0.1801861378
248	0.1799878937
249	0.1797532508
250	0.179072322
251	0.1788027491
252	0.1785510804
253	0.1783163873
254	0.178212401
255	0.1780422462
256	0.1778616385
257	0.1775358228
258	0.1774128297
259	0.1770711696
260	0.1769328153
261	0.1767151748
262	0.1765271139
263	0.176309542
264	0.1760981043
265	0.1757925915
266	0.1753989331
267	0.1747211845
268	0.174522329
269	0.1742358916
270	0.1740677511
271	0.1738156746
272	0.1734769612
273	0.1732029794
274	0.1730329816
275	0.172998434
276	0.1728745354
277	0.1727783824
278	0.1726295919
279	0.1724062218
280	0.1723373368
281	0.17179033
282	0.171560673
283	0.171252891
284	0.170702368
285	0.170351624
286	0.1701767707
287	0.1699138461
288	0.1698400875
289	0.1696156951
290	0.1695620391
291	0.1690282456
292	0.1688173244
293	0.168733105
294	0.1684849353
295	0.1682590655
296	0.1681696913
297	0.1680619009
298	0.1679369619
299	0.1678637941
300	0.1678059212
301	0.1677239901
302	0.1674922832
303	0.1673614051
304	0.1671920363
305	0.1670844518
306	0.1669282818
307	0.1667939146
308	0.1666427254
309	0.1664843266
310	0.1663323189
311	0.1661798071
312	0.1656764959
313	0.1655504575
314	0.1654835743
315	0.1651465081
316	0.165012688
317	0.1649187136
318	0.1648561234
319	0.1647243734
320	0.1646739927
321	0.1646016908
322	0.1642353191
323	0.1640824718
324	0.1638805155
325	0.1638079854
326	0.163656045
327	0.1636228665
328	0.1634901624
329	0.1632682097
330	0.1631681492
331	0.1630635597
332	0.1630325799
333	0.1630073688
334	0.1629383054
335	0.1628534408
336	0.1627058156
337	0.1626662608
338	0.1626221771
339	0.1624760845
340	0.1623921072
341	0.1621759569
342	0.1619223933
343	0.1618209225
344	0.1617350953
345	0.1616788294
346	0.1613668629
347	0.1613390557
348	0.161308291
349	0.1610951428
350	0.1610445867
351	0.1609216525
352	0.1606661023
353	0.1605974983
354	0.1605694921
355	0.1605414286
356	0.1605120399
357	0.1603258207
358	0.1602592279
359	0.1601673811
360	0.1598997671
361	0.1598796601
362	0.159837067
363	0.1596771178
364	0.1596091881
365	0.1592940303
366	0.1592457141
367	0.1591549653
368	0.1590350471
369	0.1590044912
370	0.158960268
371	0.1586845726
372	0.1586410175
373	0.1583586463
374	0.1583501781
375	0.1583247561
376	0.1582847296
377	0.157968384
378	0.1578669596
379	0.1577893437
380	0.1577233344
381	0.1574461053
382	0.1573543653
383	0.1573075304
384	0.1572669231
385	0.1571771048
386	0.1571435462
387	0.1571060433
388	0.156989824
389	0.1569808689
390	0.156972451
391	0.1569493006
392	0.1569166229
393	0.1568878519
394	0.1568674822
395	0.1568444234
396	0.1568423341
397	0.1568260365
398	0.1568087553
399	0.1568019633
400	0.1566839997
401	0.1566734982
402	0.1565918797
403	0.1565774941
404	0.1565578083
405	0.1564949498
406	0.1564080762
407	0.1563945537
408	0.1560779041
409	0.1560670217
410	0.1560563851
411	0.1560197564
412	0.1558332177
413	0.1557708336
414	0.1557692501
415	0.1557271097
416	0.1556862812
417	0.1555579552
418	0.155507384
419	0.1554735681
420	0.1554417709
421	0.1554278171
422	0.1553988589
423	0.1553888208
424	0.1553741191
425	0.1553646978
426	0.1552478087
427	0.1552273677
428	0.155190741
429	0.1550833539
430	0.1550672461
431	0.1549364791
432	0.1549249281
433	0.1548262801
434	0.1547213497
435	0.1547127345
436	0.1547002102
437	0.1546886606
438	0.1546820601
439	0.1546202629
440	0.1546168018
441	0.1546021163
442	0.1545375812
443	0.1545197353
444	0.1545031822
445	0.1544937913
446	0.1544801285
447	0.1542670927
448	0.1542113805
449	0.1541970871
450	0.1541886479
451	0.1540983337
452	0.1540306412
453	0.1539243904
454	0.1539076251
455	0.1538970583
456	0.1537899067
457	0.1537811217
458	0.1536643029
459	0.1536526512
460	0.1536036944
461	0.1536000527
462	0.1535937853
463	0.1534211911
464	0.1532553101
465	0.1532438266
466	0.1531386012
467	0.1530781212
468	0.1530691657
469	0.1529803951
470	0.1529719315
471	0.1529687479
472	0.1528408566
473	0.1527489618
474	0.1527392425
475	0.1527351363
476	0.1527296281
477	0.1527138993
478	0.1527063014
479	0.1526955582
480	0.152688023
481	0.1526680185
482	0.152658682
483	0.1526113447
484	0.1523703046
485	0.152366831
486	0.152310396
487	0.1522998634
488	0.1522028869
489	0.1521971299
490	0.1521914967
491	0.1521885739
492	0.1521830953
493	0.1521800555
494	0.1519573359
495	0.1519468961
496	0.1519416829
497	0.1519380018
498	0.1519281957
499	0.1518180506
500	0.1516187047
501	0.1516128003
502	0.1516080672
503	0.1515652098
504	0.1515642516
505	0.1515589083
506	0.1514625677
507	0.1513240798
508	0.1512537992
509	0.1512485239
510	0.151171403
511	0.1511643562
512	0.1511591131
513	0.1511530116
514	0.1511496348
515	0.1511477969
516	0.1511098551
517	0.1511039074
518	0.1509531912
519	0.1509449297
520	0.1509285027
521	0.1509245114
522	0.1508044522
523	0.1507956539
524	0.1507899299
525	0.1507818679
526	0.1507765209
527	0.1507733383
528	0.1507678385
529	0.1507611943
530	0.1507597037
531	0.1506251547
532	0.1505936306
533	0.1505374589
534	0.1505334851
535	0.1505281442
536	0.1504945653
537	0.150486755
538	0.1504227287
539	0.1503992984
540	0.150396699
541	0.1502775503
542	0.1502768322
543	0.1500534769
544	0.1499766563
545	0.1499766276
546	0.149790788
547	0.1497139527
548	0.149709713
549	0.1497031021
550	0.1496939292
551	0.1496754561
552	0.1496633934
553	0.1495576027
554	0.1495462038
555	0.1495407884
556	0.1495342748
557	0.1495309233
558	0.149525908
559	0.1495250674
560	0.1495218555
561	0.1494393032
562	0.1494339498
563	0.1494213015
564	0.1494170771
565	0.1493787183
566	0.1493752249
567	0.1493708558
568	0.1493428073
569	0.149337813
570	0.1493314746
571	0.1493243307
572	0.1492786047
573	0.1492785818
574	0.1492368948
575	0.149205242
576	0.1492042992
577	0.1492007111
578	0.1491961011
579	0.1491914079
580	0.1491907705
581	0.1491898566
582	0.14918647
583	0.1491666924
584	0.1491662902
585	0.149165678
586	0.1491624422
587	0.1491624218
588	0.1491550896
589	0.1491513636
590	0.1491512695
591	0.1491327161
592	0.149128765
593	0.1491185484
594	0.149065529
595	0.1490303565
596	0.1488583934
597	0.1488559908
598	0.1488551196
599	0.1488527682
600	0.1488404806
601	0.1488363993
602	0.1488351289
603	0.1488328342
604	0.1487563211
605	0.1487563029
606	0.1487532544
607	0.1487424159
608	0.1487402123
609	0.1486631874
610	0.1486629934
611	0.1486500112
612	0.1486491124
613	0.1486025073
614	0.1486016165
615	0.1484027622
616	0.1483227232
617	0.1483073113
618	0.1483072945
619	0.1483071108
620	0.1483063058
621	0.1483062902
622	0.1483036353
623	0.1483000105
624	0.1482806793
625	0.1482514628
626	0.1482494555
627	0.1479843107
628	0.1479841385
629	0.1479815216
630	0.147977771
631	0.1479101216
632	0.1479078392
633	0.1479057516
634	0.1479021356
635	0.1479021187
636	0.1478031016
637	0.1478002906
638	0.1477984083
639	0.1477760416
640	0.1477725315
641	0.1477696811
642	0.1477672879
643	0.1477639421
644	0.1477607793
645	0.1477581141
646	0.1477341018
647	0.1477333963
648	0.1477309499
649	0.147453953
650	0.1474535988
651	0.1474535857
652	0.1474535728
653	0.1474535587
654	0.1474519132
655	0.1474492116
656	0.1474487281
657	0.1474456875
658	0.1474340112
659	0.1474313166
660	0.1474289346
661	0.1474289232
662	0.1473669043
663	0.1473646691
664	0.1473626008
665	0.147360004
666	0.1473577567
667	0.14731688
668	0.1473143107
669	0.1473136833
670	0.1473111751
671	0.1473087191
672	0.1473087083
673	0.147306848
674	0.147254719
675	0.1472523558
676	0.1472523451
677	0.1472523345
678	0.1472502555
679	0.1472480938
680	0.1472480835
681	0.1472467519
682	0.147244538
683	0.1472217922
684	0.1472205141
685	0.1472184353
686	0.147216348
687	0.1472163389
688	0.1471889922
689	0.1471886552
690	0.1471874333
691	0.1471858438
692	0.1471858353
693	0.1471845249
694	0.1471845167
695	0.147182465
696	0.1471675643
697	0.1471625523
698	0.1471605818
699	0.1471594705
700	0.1470449307
701	0.1470431338
702	0.1470413872
703	0.1470400199
704	0.1470400112
705	0.1470400035
706	0.1470399961
707	0.1470399887
708	0.1470399815
709	0.147038915
710	0.1470389081
711	0.1470378568
712	0.1470366113
713	0.1470351723
714	0.1469470291
715	0.1469439654
716	0.1469435977
717	0.1469017949
718	0.1469008152
719	0.1469008088
720	0.1468127469
721	0.1467470277
722	0.1466533703
723	0.1466256191
724	0.1466256105
725	0.1466246404
726	0.1466233305
727	0.1465069378
728	0.1465060048
729	0.1465048709
730	0.1464693198
731	0.1464675485
732	0.1464675418
733	0.1464259285
734	0.1464259219
735	0.146424315
736	0.1464203794
737	0.1463955305
738	0.1463940698
739	0.1463929657
740	0.1463924973
741	0.1463910431
742	0.1463544647
743	0.1463543389
744	0.1463530432
745	0.146352237
746	0.1462949331
747	0.1462935846
748	0.1462935788
749	0.1462935736
750	0.1462923648
751	0.1462910667
752	0.14627861
753	0.1462722589
754	0.1462524284
755	0.1462524229
756	0.1462332476
757	0.1462332424
758	0.1462332372
759	0.1462093105
760	0.1462081352
761	0.1462074341
762	0.1462063594
763	0.1462053053
764	0.1461309653
765	0.1461302664
766	0.1461302616
767	0.1461296162
768	0.1461286258
769	0.1461286216
770	0.1461277646
771	0.1461269914
772	0.1461269873
773	0.1461261486
774	0.1461255472
775	0.1461255431
776	0.1460960942
777	0.1460949338
778	0.1460937639
779	0.1460712759
780	0.146070211
781	0.1460702067
782	0.1460702026
783	0.1460478768
784	0.1460086235
785	0.1460077758
786	0.1460069409
787	0.1460069371
788	0.1459875553
789	0.1459875549
790	0.1459721026
791	0.1459720988
792	0.1458444027
793	0.1458443988
794	0.1458438569
795	0.1458435061
796	0.1458435024
797	0.1458434988
798	0.1458274635
799	0.1458266869
800	0.1458261767
801	0.145825423
802	0.1458246839
803	0.1458239596
804	0.145823249
805	0.1458225525
806	0.1458218691
807	0.1458211989
808	0.1456913527
809	0.145543739
810	0.1455430186
811	0.1455426252
812	0.1455421961
813	0.1455415752
814	0.145541157
815	0.1455407452
816	0.1455325823
817	0.1455319607
818	0.1455309336
819	0.1455305515
820	0.1455301279
821	0.1455294878
822	0.1455289217
823	0.1455289214
824	0.1455289198
825	0.1455283656
826	0.1454389362
827	0.1454382765
828	0.1454382745
829	0.1454376988
830	0.1454373413
831	0.145436963
832	0.1454366204
833	0.1454362831
834	0.145435921
835	0.1454353189
836	0.1454353173
837	0.1454347266
838	0.1454341463
839	0.1454332251
840	0.1451698108
841	0.1451389986
842	0.1451385303
843	0.1451382605
844	0.1450778305
845	0.1450635646
846	0.1450632541
847	0.1450627214
848	0.1450623689
849	0.1450620865
850	0.1450615701
851	0.14506045
852	0.1450601072
853	0.1450595427
854	0.1450592774
855	0.1450588565
856	0.145058309
857	0.1450574737
858	0.1450572239
859	0.1450572227
860	0.1450568856
861	0.1450561403
862	0.145056139
863	0.1450557569
864	0.1450555203
865	0.1450555186
866	0.1450551481
867	0.145054785
868	0.1450544287
869	0.1450541873
870	0.1450537376
871	0.1450533544
872	0.1450530144
873	0.1450528032
874	0.1450528022
875	0.1450523673
876	0.1450522683
877	0.1450517911
878	0.1450513677
879	0.1450512651
880	0.1450510607
881	0.1450510597
882	0.1450506423
883	0.1450503533
884	0.1450502553
885	0.1450500685
886	0.145049766
887	0.1450494696
888	0.1450492871
889	0.1450491966
890	0.1450490232
891	0.1450487394
892	0.1450485701
893	0.1450482946
894	0.1450482107
895	0.1450480437
896	0.1450478025
897	0.1450468576
898	0.1450467027
899	0.1450466274
900	0.1450464752
901	0.1450462995
902	0.1450460844
903	0.1450459363
904	0.1450456875
905	0.1450454463
906	0.1450453742
907	0.1450424658
908	0.1450423275
909	0.1450421719
910	0.1450419406
911	0.1450418084
912	0.1450411026
913	0.1450409745
914	0.1450408236
915	0.1450406993
916	0.1450402387
917	0.1450399042
918	0.145039785
919	0.1450088733
920	0.1450087568
921	0.1450085695
922	0.1450084565
923	0.1450082539
924	0.1450081448
925	0.1450080378
926	0.1450078355
927	0.1450076367
928	0.145007533
929	0.1450073387
930	0.1450072385
931	0.1450071188
932	0.1450068128
933	0.1450067176
934	0.1450066238
935	0.1450065314
936	0.1450063266
937	0.1450062313
938	0.1449330819
939	0.1449330331
940	0.1449329409
941	0.1449325976
942	0.1449321971
943	0.144932029
944	0.1449318644
945	0.144924916
946	0.1449247561
947	0.1449239403
948	0.1448609995
949	0.144860919
950	0.144860767
951	0.1448606889
952	0.1448605414
953	0.1448604657
954	0.1448603911
955	0.1448603176
956	0.1448597218
957	0.1448594525
958	0.144859331
959	0.1448592618
960	0.1448592257
961	0.1448591083
962	0.1448589933
963	0.1448589277
964	0.1448588632
965	0.1448587995
966	0.1448559925
967	0.1448559307
968	0.1448557295
969	0.1448556997
970	0.1448554451
971	0.1448554167
972	0.1448551666
973	0.1448551092
974	0.1448550528
975	0.1448549811
976	0.1448548648
977	0.1448548108
978	0.1448547581
979	0.1448546629
980	0.1448545955
981	0.1448545441
982	0.1448544941
983	0.1448544032
984	0.1448543546
985	0.1448543068
986	0.1448542592
987	0.1448542128
988	0.1448541267
989	0.144854066
990	0.1448540217
991	0.1448539775
992	0.1448416267
993	0.1448415456
994	0.1448414504
995	0.1448414092
996	0.1448413686
997	0.1448413287
998	0.1448412893
999	0.1448412142
